location,time_seq,gen_capacity,CL,GC,GG
1,1,3.78,1.075,0.125,0.0
1,2,3.78,1.25,0.303,0.0
1,3,3.78,1.244,0.471,0.0
1,4,3.78,1.256,0.083,0.0
1,9,3.78,0.0,0.098,0.0
1,10,3.78,0.0,0.104,0.0
1,11,3.78,0.869,0.369,0.0
1,19,3.78,0.0,0.328,0.056
1,21,3.78,0.0,0.208,0.456
1,22,3.78,0.0,0.614,0.713
1,25,3.78,0.0,1.6,0.738
1,35,3.78,0.0,1.588,0.0
1,37,3.78,0.0,0.91,0.0
1,39,3.78,0.0,0.582,0.0
1,40,3.78,0.0,0.495,0.0
1,42,3.78,0.0,0.406,0.0
1,43,3.78,0.0,0.543,0.0
1,44,3.78,0.0,0.495,0.0
1,45,3.78,0.0,0.216,0.0
1,46,3.78,0.0,0.378,0.0
1,47,3.78,0.0,0.128,0.0
1,49,3.78,1.088,0.111,0.0
1,50,3.78,1.238,0.116,0.0
1,52,3.78,1.256,0.122,0.0
1,58,3.78,0.0,0.08,0.0
1,60,3.78,0.669,0.365,0.0
1,71,3.78,0.0,1.366,0.213
1,75,3.78,0.0,1.628,0.338
1,76,3.78,0.0,0.617,0.306
1,79,3.78,0.0,1.104,0.138
1,85,3.78,0.0,1.19,0.0
1,89,3.78,0.0,1.1,0.0
1,90,3.78,0.0,1.012,0.0
1,91,3.78,0.0,0.817,0.0
1,92,3.78,0.0,0.526,0.0
1,93,3.78,0.0,0.335,0.0
1,94,3.78,0.0,0.402,0.0
1,95,3.78,0.0,0.142,0.0
1,97,3.78,1.081,0.124,0.0
1,98,3.78,1.25,0.73,0.0
1,99,3.78,1.244,1.389,0.0
1,101,3.78,1.188,0.699,0.0
1,102,3.78,0.0,0.729,0.0
1,103,3.78,0.95,0.724,0.0
1,104,3.78,0.35,0.933,0.0
1,106,3.78,0.213,0.082,0.0
1,110,3.78,0.0,0.122,0.0
1,111,3.78,0.0,0.098,0.0
1,112,3.78,0.0,0.799,0.013
1,116,3.78,0.0,0.105,0.338
1,117,3.78,0.0,0.152,0.513
1,118,3.78,0.0,0.445,0.706
1,119,3.78,0.0,0.205,0.806
1,120,3.78,0.0,0.232,0.9
1,122,3.78,0.0,0.385,1.106
1,123,3.78,0.0,0.543,1.131
1,124,3.78,0.0,0.369,1.206
1,129,3.78,0.0,1.085,0.156
1,130,3.78,0.0,0.801,0.038
1,131,3.78,0.0,0.837,0.006
1,132,3.78,0.0,1.158,0.0
1,134,3.78,0.0,1.108,0.0
1,135,3.78,0.0,1.104,0.0
1,137,3.78,0.0,0.387,0.0
1,139,3.78,0.0,0.782,0.0
1,140,3.78,0.0,0.519,0.0
1,141,3.78,0.0,0.225,0.0
1,142,3.78,0.0,0.123,0.0
1,144,3.78,0.0,0.39,0.0
1,145,3.78,1.081,0.232,0.0
1,149,3.78,0.944,0.377,0.0
1,150,3.78,0.0,0.123,0.0
1,154,3.78,0.0,0.371,0.0
1,157,3.78,0.0,0.095,0.0
1,158,3.78,0.0,0.391,0.0
1,159,3.78,0.0,0.133,0.0
1,160,3.78,0.0,0.773,0.0
1,164,3.78,0.0,0.203,0.281
1,165,3.78,0.0,0.118,0.513
1,166,3.78,0.0,0.363,0.688
1,170,3.78,0.0,1.182,1.063
1,176,3.78,0.0,1.881,0.631
1,178,3.78,0.0,1.885,0.038
1,179,3.78,0.0,1.492,0.006
1,180,3.78,0.0,1.887,0.0
1,182,3.78,0.0,1.422,0.0
1,183,3.78,0.0,1.346,0.0
1,185,3.78,0.0,0.992,0.0
1,186,3.78,0.0,0.462,0.0
1,188,3.78,0.0,0.505,0.0
1,189,3.78,0.0,0.586,0.0
1,192,3.78,0.0,0.295,0.0
1,193,3.78,1.075,0.378,0.0
1,195,3.78,1.244,0.481,0.0
1,198,3.78,0.0,0.122,0.0
1,199,3.78,1.075,0.128,0.0
1,200,3.78,0.175,0.349,0.0
1,201,3.78,0.0,0.136,0.0
1,203,3.78,0.825,0.133,0.0
1,205,3.78,0.0,0.352,0.0
1,206,3.78,0.0,0.129,0.0
1,208,3.78,0.0,0.807,0.006
1,209,3.78,0.0,0.847,0.069
1,211,3.78,0.0,0.147,0.119
1,212,3.78,0.0,0.116,0.144
1,214,3.78,0.0,0.115,0.213
1,215,3.78,0.0,0.457,0.288
1,216,3.78,0.0,1.285,0.194
1,218,3.78,0.0,1.218,0.288
1,220,3.78,0.0,0.609,0.444
1,222,3.78,0.0,1.9,0.113
1,223,3.78,0.0,1.925,0.1
1,224,3.78,0.0,1.868,0.169
1,228,3.78,0.0,0.887,0.0
1,230,3.78,0.0,0.606,0.0
1,231,3.78,0.0,0.767,0.0
1,232,3.78,0.0,0.904,0.0
1,233,3.78,0.0,0.945,0.0
1,235,3.78,0.0,0.295,0.0
1,236,3.78,0.0,1.034,0.0
1,237,3.78,0.0,0.169,0.0
1,239,3.78,0.0,0.135,0.0
1,240,3.78,0.0,0.079,0.0
1,242,3.78,1.25,0.107,0.0
1,244,3.78,1.25,0.127,0.0
1,245,3.78,1.163,0.421,0.0
1,248,3.78,0.719,0.666,0.0
1,249,3.78,0.0,0.691,0.0
1,250,3.78,0.0,0.645,0.0
1,252,3.78,0.0,0.101,0.0
1,253,3.78,0.0,0.103,0.0
1,258,3.78,0.0,0.29,0.144
1,260,3.78,0.0,0.178,0.256
1,261,3.78,0.0,0.48,0.294
1,262,3.78,0.0,0.203,0.475
1,264,3.78,0.0,0.84,0.35
1,266,3.78,0.0,0.967,1.063
1,268,3.78,0.0,1.307,1.231
1,269,3.78,0.0,0.588,0.938
1,271,3.78,0.0,1.117,0.338
1,273,3.78,0.0,1.913,0.025
1,276,3.78,0.0,1.898,0.0
1,279,3.78,0.0,0.659,0.0
1,280,3.78,0.0,0.435,0.0
1,282,3.78,0.0,0.297,0.0
1,284,3.78,0.0,0.383,0.0
1,285,3.78,0.0,0.549,0.0
1,287,3.78,0.0,0.18,0.0
1,290,3.78,1.256,0.11,0.0
1,294,3.78,1.25,0.115,0.0
1,295,3.78,0.838,0.126,0.0
1,296,3.78,0.0,0.08,0.0
1,298,3.78,0.106,0.352,0.0
1,300,3.78,0.0,0.0,0.0
1,301,3.78,0.0,0.0,0.0
1,302,3.78,0.0,0.0,0.0
1,304,3.78,0.0,0.0,0.0
1,305,3.78,0.0,0.0,0.0
1,306,3.78,0.0,0.0,0.0
1,307,3.78,0.0,0.0,0.0
1,308,3.78,0.144,0.612,0.181
1,309,3.78,0.0,0.096,0.463
1,311,3.78,0.0,0.083,0.419
1,312,3.78,0.0,0.354,0.256
1,313,3.78,0.0,0.247,0.119
1,316,3.78,0.0,1.893,0.281
1,318,3.78,0.0,2.055,0.3
1,319,3.78,0.0,1.558,0.306
1,321,3.78,0.0,0.685,0.106
1,322,3.78,0.0,0.619,0.081
1,324,3.78,0.0,0.84,0.0
1,325,3.78,0.0,0.903,0.0
1,326,3.78,0.0,0.217,0.0
1,327,3.78,0.0,0.555,0.0
1,330,3.78,0.0,0.849,0.0
1,331,3.78,0.0,0.633,0.0
1,332,3.78,0.0,0.201,0.0
1,333,3.78,0.0,0.355,0.0
1,334,3.78,0.0,0.144,0.0
1,335,3.78,0.0,0.083,0.0
1,336,3.78,0.0,0.127,0.0
1,338,3.78,1.238,0.345,0.0
1,339,3.78,1.238,0.126,0.0
1,340,3.78,0.169,0.088,0.0
1,341,3.78,0.631,0.118,0.0
1,342,3.78,0.669,0.124,0.0
1,344,3.78,0.0,0.122,0.0
1,346,3.78,0.438,0.104,0.0
1,347,3.78,0.0,0.12,0.0
1,348,3.78,0.0,0.326,0.0
1,350,3.78,0.0,0.167,0.0
1,351,3.78,0.0,0.132,0.0
1,353,3.78,0.0,0.933,0.044
1,354,3.78,0.0,0.27,0.05
1,356,3.78,0.0,1.154,0.3
1,357,3.78,0.0,2.104,0.494
1,359,3.78,0.0,2.006,0.25
1,360,3.78,0.0,1.253,0.344
1,361,3.78,0.0,1.83,0.681
1,362,3.78,0.0,1.935,0.594
1,364,3.78,0.0,1.478,0.525
1,365,3.78,0.0,0.403,0.794
1,367,3.78,0.0,1.284,0.188
1,370,3.78,0.0,0.975,0.038
1,372,3.78,0.0,0.859,0.0
1,374,3.78,0.0,0.564,0.0
1,375,3.78,0.0,0.244,0.0
1,376,3.78,0.0,0.277,0.0
1,379,3.78,0.0,0.291,0.0
1,380,3.78,0.0,0.234,0.0
1,381,3.78,0.0,0.292,0.0
1,382,3.78,0.0,0.609,0.0
1,384,3.78,0.0,0.134,0.0
1,386,3.78,1.231,0.131,0.0
1,387,3.78,1.238,0.099,0.0
1,389,3.78,0.406,0.126,0.0
1,392,3.78,0.0,0.104,0.0
1,393,3.78,0.0,0.357,0.0
1,394,3.78,0.631,0.126,0.0
1,396,3.78,0.0,0.123,0.0
1,397,3.78,0.0,0.108,0.0
1,398,3.78,0.0,0.354,0.0
1,400,3.78,0.0,0.761,0.006
1,401,3.78,0.0,1.701,0.044
1,403,3.78,0.0,0.995,0.194
1,406,3.78,0.0,0.165,0.531
1,407,3.78,0.0,0.103,0.781
1,409,3.78,0.0,0.135,0.881
1,410,3.78,0.0,0.085,0.369
1,412,3.78,0.0,0.115,0.156
1,413,3.78,0.0,0.106,0.35
1,414,3.78,0.0,0.638,0.906
1,415,3.78,0.0,0.105,0.825
1,416,3.78,0.0,0.231,0.125
1,417,3.78,0.0,1.754,0.088
