location,time_seq,gen_capacity,CL,GC,GG
7,1,2.16,1.729,0.065,0.0
7,3,2.16,1.753,0.1,0.0
7,5,2.16,1.664,0.051,0.0
7,9,2.16,0.0,0.078,0.0
7,13,2.16,0.0,0.089,0.0
7,18,2.16,0.0,1.252,0.081
7,22,2.16,0.0,0.699,0.694
7,29,2.16,0.0,0.159,0.531
7,39,2.16,0.0,1.077,0.0
7,41,2.16,0.0,1.131,0.006
7,50,2.16,1.715,0.113,0.0
7,54,2.16,0.0,0.081,0.0
7,59,2.16,0.0,0.091,0.0
7,66,2.16,0.0,0.148,0.094
7,67,2.16,0.0,0.184,0.1
7,72,2.16,0.0,0.091,0.175
7,79,2.16,0.0,0.089,0.081
7,83,2.16,0.0,1.041,0.0
7,93,2.16,0.0,0.128,0.0
7,95,2.16,0.0,0.092,0.0
7,99,2.16,1.725,0.081,0.0
7,102,2.16,0.0,0.11,0.0
7,105,2.16,0.0,0.421,0.0
7,106,2.16,1.637,0.49,0.0
7,108,2.16,0.0,0.343,0.0
7,112,2.16,0.0,0.837,0.025
7,114,2.16,0.0,1.285,0.113
7,115,2.16,0.0,0.266,0.444
7,116,2.16,0.0,0.217,0.538
7,119,2.16,0.0,0.124,0.713
7,120,2.16,0.0,0.096,0.731
7,122,2.16,0.0,0.109,0.738
7,128,2.16,0.0,0.139,0.344
7,129,2.16,0.0,0.071,0.2
7,130,2.16,0.0,0.103,0.05
7,133,2.16,0.0,0.367,0.0
7,135,2.16,0.0,1.083,0.0
7,137,2.16,0.0,0.497,0.0
7,139,2.16,0.0,0.086,0.0
7,144,2.16,0.0,0.163,0.0
7,145,2.16,1.742,0.097,0.0
7,154,2.16,0.0,0.134,0.0
7,155,2.16,0.0,0.088,0.0
7,157,2.16,0.0,0.114,0.0
7,158,2.16,0.0,0.091,0.0
7,159,2.16,0.0,0.124,0.0
7,162,2.16,0.0,0.094,0.213
7,164,2.16,0.0,0.167,0.138
7,168,2.16,0.0,0.124,0.419
7,172,2.16,0.0,0.212,0.313
7,173,2.16,0.0,0.114,0.456
7,174,2.16,0.0,0.198,0.475
7,176,2.16,0.0,0.145,0.138
7,177,2.16,0.0,0.299,0.213
7,180,2.16,0.0,0.21,0.0
7,187,2.16,0.0,0.288,0.0
7,188,2.16,0.0,0.139,0.0
7,189,2.16,0.0,0.053,0.0
7,192,2.16,0.0,0.093,0.0
7,193,2.16,1.734,0.096,0.0
7,196,2.16,1.732,0.098,0.0
7,199,2.16,0.0,0.131,0.0
7,202,2.16,0.0,0.121,0.0
7,211,2.16,0.0,0.095,0.15
7,212,2.16,0.0,0.06,0.113
7,214,2.16,0.0,0.156,0.056
7,216,2.16,0.0,0.153,0.319
7,220,2.16,0.0,0.062,0.2
7,221,2.16,0.0,0.115,0.088
7,224,2.16,0.0,0.266,0.056
7,225,2.16,0.0,0.543,0.05
7,228,2.16,0.0,1.152,0.0
7,233,2.16,0.0,1.258,0.0
7,234,2.16,0.0,0.392,0.0
7,236,2.16,0.0,0.071,0.0
7,237,2.16,0.0,0.112,0.006
7,238,2.16,0.0,0.654,0.0
7,239,2.16,0.0,0.416,0.0
7,240,2.16,0.0,0.116,0.0
7,241,2.16,1.722,0.082,0.0
7,243,2.16,1.732,0.117,0.0
7,244,2.16,1.728,0.093,0.0
7,245,2.16,0.34,0.089,0.0
7,248,2.16,0.0,0.144,0.0
7,249,2.16,0.0,0.062,0.0
7,252,2.16,0.0,0.11,0.0
7,253,2.16,0.0,0.117,0.0
7,255,2.16,0.0,0.282,0.0
7,256,2.16,0.0,0.185,0.0
7,257,2.16,0.0,0.077,0.0
7,262,2.16,0.0,0.369,0.138
7,268,2.16,0.0,0.084,0.45
7,269,2.16,0.0,0.17,0.413
7,270,2.16,0.0,0.086,0.175
7,276,2.16,0.0,1.195,0.0
7,277,2.16,0.0,1.131,0.0
7,278,2.16,0.0,1.158,0.0
7,279,2.16,0.0,1.097,0.0
7,280,2.16,0.0,1.26,0.0
7,281,2.16,0.0,1.068,0.0
7,284,2.16,0.0,0.14,0.0
7,285,2.16,0.0,0.139,0.0
7,288,2.16,0.0,0.118,0.0
7,290,2.16,1.727,0.11,0.0
7,291,2.16,0.971,0.103,0.0
7,296,2.16,0.0,0.094,0.0
7,297,2.16,0.0,0.101,0.0
7,298,2.16,0.0,0.115,0.0
7,299,2.16,0.0,0.098,0.0
7,302,2.16,0.0,0.099,0.006
7,304,2.16,0.0,0.127,0.0
7,305,2.16,0.0,0.177,0.019
7,306,2.16,0.0,0.331,0.013
7,308,2.16,0.0,0.109,0.106
7,309,2.16,0.0,0.067,0.256
7,311,2.16,0.0,0.094,0.381
7,312,2.16,0.0,0.095,0.325
7,315,2.16,0.0,0.159,0.219
7,317,2.16,0.0,0.163,0.05
7,323,2.16,0.0,2.142,0.0
7,326,2.16,0.0,2.093,0.0
7,328,2.16,0.0,1.371,0.0
7,329,2.16,0.0,1.264,0.0
7,331,2.16,0.0,0.122,0.0
7,332,2.16,0.0,0.182,0.0
7,333,2.16,0.0,0.143,0.0
7,334,2.16,0.0,0.121,0.0
7,336,2.16,0.0,0.456,0.0
7,338,2.16,1.721,0.105,0.0
7,339,2.16,1.719,0.079,0.0
7,341,2.16,1.643,0.065,0.0
7,343,2.16,0.0,0.109,0.0
7,345,2.16,0.0,0.093,0.0
7,347,2.16,0.0,0.154,0.0
7,348,2.16,0.0,0.168,0.0
7,349,2.16,0.0,0.163,0.0
7,350,2.16,0.0,0.137,0.0
7,351,2.16,0.0,0.184,0.0
7,352,2.16,0.0,0.131,0.0
7,353,2.16,0.0,0.161,0.006
7,356,2.16,0.0,1.197,0.081
7,360,2.16,0.0,0.304,0.738
7,361,2.16,0.0,0.131,0.575
7,362,2.16,0.0,0.308,0.488
7,366,2.16,0.0,1.087,0.075
7,368,2.16,0.0,1.157,0.063
7,369,2.16,0.0,1.112,0.038
7,375,2.16,0.0,1.224,0.0
7,376,2.16,0.0,1.1,0.0
7,378,2.16,0.0,0.416,0.0
7,380,2.16,0.0,0.092,0.0
7,381,2.16,0.0,0.219,0.0
7,382,2.16,0.0,0.883,0.0
7,383,2.16,0.0,0.089,0.0
7,384,2.16,0.0,0.108,0.0
7,385,2.16,1.717,0.078,0.0
7,386,2.16,1.749,0.096,0.0
7,389,2.16,0.26,0.06,0.0
7,391,2.16,0.0,0.054,0.0
7,392,2.16,0.0,0.132,0.0
7,393,2.16,0.0,0.056,0.0
7,395,2.16,0.0,0.102,0.0
7,396,2.16,0.0,0.082,0.0
7,397,2.16,0.0,0.094,0.0
7,398,2.16,0.0,0.1,0.0
7,399,2.16,0.0,0.099,0.0
7,400,2.16,0.0,0.167,0.0
7,402,2.16,0.0,0.236,0.013
7,403,2.16,0.0,0.229,0.044
7,406,2.16,0.0,0.051,0.381
7,409,2.16,0.0,0.204,0.463
7,410,2.16,0.0,0.175,0.525
7,412,2.16,0.0,0.053,0.381
7,414,2.16,0.0,0.05,0.319
7,417,2.16,0.0,0.246,0.188
7,418,2.16,0.0,0.156,0.019
7,419,2.16,0.0,0.157,0.0
7,420,2.16,0.0,0.603,0.0
7,422,2.16,0.0,1.064,0.0
7,423,2.16,0.0,1.133,0.0
7,426,2.16,0.0,1.115,0.0
7,427,2.16,0.0,0.719,0.0
7,428,2.16,0.0,0.148,0.0
7,429,2.16,0.0,0.133,0.0
7,431,2.16,0.0,0.122,0.0
7,432,2.16,0.0,0.075,0.0
7,433,2.16,1.727,0.191,0.0
7,435,2.16,1.735,0.081,0.0
7,436,2.16,0.378,0.099,0.0
7,437,2.16,0.0,0.103,0.0
7,442,2.16,0.0,0.096,0.0
7,443,2.16,0.0,0.129,0.0
7,445,2.16,0.0,0.15,0.0
7,447,2.16,0.607,0.435,0.0
7,449,2.16,0.0,0.157,0.2
7,455,2.16,0.0,0.131,0.5
7,456,2.16,0.0,0.049,0.675
7,457,2.16,0.0,0.127,0.594
7,458,2.16,0.0,0.056,0.356
7,459,2.16,0.0,0.096,0.4
7,462,2.16,0.0,0.065,0.256
7,463,2.16,0.0,0.122,0.088
7,464,2.16,0.0,0.049,0.125
7,466,2.16,0.0,0.056,0.038
7,469,2.16,0.0,0.09,0.0
7,470,2.16,0.0,0.067,0.0
7,475,2.16,0.0,0.097,0.0
7,476,2.16,0.0,0.27,0.0
7,478,2.16,0.0,0.268,0.0
7,479,2.16,0.0,0.198,0.0
7,482,2.16,1.722,0.064,0.0
7,483,2.16,0.814,0.135,0.006
7,484,2.16,0.0,0.073,0.0
7,485,2.16,0.0,0.09,0.0
7,486,2.16,0.0,0.099,0.0
7,487,2.16,0.0,0.101,0.0
7,488,2.16,0.0,0.08,0.0
7,489,2.16,0.0,0.133,0.0
7,490,2.16,0.0,0.051,0.0
7,491,2.16,0.0,0.131,0.0
7,493,2.16,0.0,0.091,0.0
7,494,2.16,0.0,0.122,0.0
7,496,2.16,0.0,0.097,0.0
7,498,2.16,0.0,0.187,0.088
7,500,2.16,0.0,0.156,0.269
7,501,2.16,0.0,0.335,0.219
7,502,2.16,0.0,0.11,0.288
7,503,2.16,0.0,0.127,0.206
7,504,2.16,0.0,0.107,0.163
7,505,2.16,0.0,0.112,0.15
7,507,2.16,0.0,0.286,0.175
7,509,2.16,0.0,0.283,0.15
7,510,2.16,0.0,0.118,0.1
7,511,2.16,0.0,0.171,0.056
7,513,2.16,0.0,0.134,0.069
7,515,2.16,0.0,0.115,0.006
7,516,2.16,0.0,0.105,0.0
7,517,2.16,0.0,0.465,0.0
7,518,2.16,0.0,1.519,0.0
7,521,2.16,0.0,1.176,0.0
7,522,2.16,0.0,1.104,0.0
7,523,2.16,0.0,0.754,0.0
7,524,2.16,0.0,0.156,0.0
7,525,2.16,0.0,0.146,0.0
7,526,2.16,0.0,0.926,0.0
7,530,2.16,1.73,0.146,0.0
7,531,2.16,1.739,0.078,0.0
7,533,2.16,0.071,0.09,0.0
7,534,2.16,0.0,0.105,0.0
7,535,2.16,0.0,0.115,0.0
7,536,2.16,0.0,0.104,0.0
7,537,2.16,0.0,0.116,0.0
7,539,2.16,0.0,0.09,0.0
7,540,2.16,0.0,0.135,0.0
7,541,2.16,0.0,0.155,0.0
7,542,2.16,0.0,0.6,0.0
7,543,2.16,0.918,0.214,0.0
7,547,2.16,0.0,0.078,0.175
7,548,2.16,0.0,0.1,0.163
7,550,2.16,0.0,0.192,0.238
7,552,2.16,0.0,0.223,0.306
7,553,2.16,0.0,0.116,0.144
7,555,2.16,0.0,0.212,0.119
7,556,2.16,0.0,0.133,0.344
7,559,2.16,0.0,0.06,0.175
7,560,2.16,0.0,0.119,0.038
7,562,2.16,0.0,0.176,0.006
7,563,2.16,0.0,0.165,0.0
7,564,2.16,0.0,0.1,0.0
7,566,2.16,0.0,1.094,0.0
7,567,2.16,0.0,1.148,0.0
7,569,2.16,0.0,1.068,0.0
7,570,2.16,0.0,0.276,0.0
7,571,2.16,0.0,0.149,0.0
7,574,2.16,0.0,0.155,0.0
7,575,2.16,0.0,0.618,0.0
7,576,2.16,0.0,0.437,0.0
7,579,2.16,1.744,0.105,0.0
7,581,2.16,0.0,0.114,0.0
7,582,2.16,0.0,0.081,0.0
7,583,2.16,0.0,0.101,0.0
7,584,2.16,0.0,0.093,0.0
7,585,2.16,0.0,0.081,0.0
7,586,2.16,0.0,0.108,0.0
7,587,2.16,0.0,0.096,0.0
7,588,2.16,0.0,0.107,0.0
7,589,2.16,0.0,0.147,0.0
7,590,2.16,0.0,0.15,0.0
7,591,2.16,0.0,0.162,0.0
7,593,2.16,0.0,0.302,0.013
7,595,2.16,0.0,0.163,0.113
7,598,2.16,0.0,0.094,0.431
7,600,2.16,0.0,0.163,0.288
7,601,2.16,0.0,0.313,0.088
7,602,2.16,0.0,0.351,0.15
7,603,2.16,0.0,0.249,0.1
7,604,2.16,0.0,0.252,0.094
7,605,2.16,0.0,0.287,0.119
7,606,2.16,0.0,0.229,0.225
7,607,2.16,0.0,0.078,0.125
7,609,2.16,0.0,0.085,0.013
7,610,2.16,0.0,0.11,0.0
