location,time_seq,gen_capacity,CL,GC,GG
9,1,1.02,0.088,0.025,0.0
9,2,1.02,0.0,0.033,0.0
9,12,1.02,0.647,0.008,0.0
9,27,1.02,0.0,0.008,0.319
9,29,1.02,0.632,0.008,0.244
9,50,1.02,0.0,0.008,0.0
9,52,1.02,0.618,0.008,0.0
9,64,1.02,0.536,0.641,0.0
9,70,1.02,0.093,0.031,0.075
9,76,1.02,0.0,0.021,0.05
9,82,1.02,0.0,0.045,0.006
9,87,1.02,0.0,1.445,0.0
9,93,1.02,0.0,1.422,0.0
9,96,1.02,0.0,0.009,0.0
9,111,1.02,0.0,0.008,0.0
9,113,1.02,0.0,0.046,0.063
9,120,1.02,0.0,0.062,0.338
9,125,1.02,0.0,0.098,0.281
9,127,1.02,0.0,0.099,0.213
9,133,1.02,0.0,0.598,0.0
9,137,1.02,0.0,0.15,0.0
9,138,1.02,0.0,0.143,0.0
9,140,1.02,0.0,1.536,0.0
9,143,1.02,0.0,0.034,0.0
9,156,1.02,0.0,0.008,0.0
9,158,1.02,0.669,0.011,0.0
9,161,1.02,0.0,0.009,0.013
9,162,1.02,0.0,0.039,0.113
9,164,1.02,0.0,0.06,0.131
9,165,1.02,0.0,0.055,0.094
9,173,1.02,0.0,0.234,0.156
9,174,1.02,0.0,0.195,0.231
9,178,1.02,0.0,0.059,0.025
9,186,1.02,0.0,0.247,0.0
9,193,1.02,0.0,0.009,0.0
9,194,1.02,1.898,0.008,0.0
9,199,1.02,0.0,0.008,0.0
9,201,1.02,0.0,0.032,0.0
9,206,1.02,0.0,0.008,0.0
9,208,1.02,0.626,0.008,0.0
9,213,1.02,0.0,0.175,0.075
9,215,1.02,1.946,0.02,0.125
9,217,1.02,1.938,0.07,0.213
9,221,1.02,0.0,0.393,0.025
9,226,1.02,0.669,0.02,0.0
9,228,1.02,0.0,0.262,0.0
9,235,1.02,0.845,0.129,0.0
9,238,1.02,0.494,0.097,0.0
9,245,1.02,0.0,0.033,0.0
9,249,1.02,0.0,0.018,0.0
9,250,1.02,0.578,0.033,0.0
9,252,1.02,0.0,0.008,0.0
9,254,1.02,0.63,0.013,0.0
9,255,1.02,0.0,0.039,0.0
9,256,1.02,0.0,0.009,0.006
9,259,1.02,0.214,0.012,0.006
9,261,1.02,1.801,0.28,0.031
9,263,1.02,0.0,0.054,0.069
9,264,1.02,0.776,0.15,0.069
9,267,1.02,0.619,0.229,0.106
9,270,1.02,0.0,0.434,0.038
9,271,1.02,0.538,0.091,0.156
9,272,1.02,0.109,0.134,0.169
9,273,1.02,0.0,0.12,0.106
9,274,1.02,0.0,0.091,0.05
9,275,1.02,0.603,0.12,0.0
9,277,1.02,0.0,0.415,0.0
9,280,1.02,0.0,0.183,0.0
9,283,1.02,0.0,0.254,0.0
9,286,1.02,0.0,0.336,0.0
9,289,1.02,1.908,0.011,0.0
9,292,1.02,0.058,0.011,0.0
9,293,1.02,0.0,0.011,0.0
9,294,1.02,0.0,0.044,0.0
9,295,1.02,0.588,0.011,0.0
9,297,1.02,0.0,0.011,0.0
9,300,1.02,0.0,0.011,0.0
9,305,1.02,0.0,0.167,0.0
9,306,1.02,0.0,0.045,0.013
9,311,1.02,0.0,0.053,0.169
9,317,1.02,0.0,0.185,0.044
9,319,1.02,0.0,0.216,0.019
9,320,1.02,0.0,0.2,0.019
9,326,1.02,0.0,0.838,0.0
9,327,1.02,0.0,0.346,0.0
9,329,1.02,0.0,0.145,0.0
9,332,1.02,0.0,0.256,0.0
9,333,1.02,0.0,0.125,0.0
9,335,1.02,0.0,0.075,0.0
9,336,1.02,1.898,0.011,0.0
9,342,1.02,1.367,0.011,0.0
9,344,1.02,0.621,0.011,0.0
9,351,1.02,0.296,0.02,0.0
9,355,1.02,0.0,0.062,0.144
9,356,1.02,0.0,0.18,0.038
9,366,1.02,0.0,0.037,0.088
9,380,1.02,0.0,0.11,0.0
9,382,1.02,0.0,0.102,0.0
9,383,1.02,0.0,0.062,0.0
9,385,1.02,0.0,0.004,0.0
9,389,1.02,1.712,0.011,0.0
9,391,1.02,0.299,0.011,0.0
9,392,1.02,0.0,0.011,0.0
9,393,1.02,0.151,0.011,0.0
9,399,1.02,0.0,0.011,0.0
9,400,1.02,0.0,0.01,0.0
9,401,1.02,0.0,0.011,0.0
9,402,1.02,0.0,0.022,0.019
9,405,1.02,0.0,0.02,0.031
9,407,1.02,0.0,0.146,0.044
9,412,1.02,0.0,0.033,0.081
9,415,1.02,0.0,0.017,0.063
9,416,1.02,0.0,0.016,0.05
9,420,1.02,0.0,0.096,0.0
9,421,1.02,0.0,0.978,0.0
9,426,1.02,0.0,0.131,0.0
9,427,1.02,0.0,0.143,0.0
9,428,1.02,0.0,0.099,0.0
9,429,1.02,0.0,0.096,0.0
9,431,1.02,0.0,0.005,0.0
9,432,1.02,0.0,0.005,0.0
9,435,1.02,0.0,0.005,0.0
9,436,1.02,0.0,0.005,0.0
9,439,1.02,0.0,0.005,0.0
9,441,1.02,0.0,0.005,0.0
9,445,1.02,0.0,0.005,0.0
9,446,1.02,0.0,0.011,0.0
9,447,1.02,0.0,0.033,0.0
9,450,1.02,0.0,0.127,0.131
9,453,1.02,0.0,0.025,0.213
9,454,1.02,0.0,0.304,0.181
9,455,1.02,0.0,0.119,0.219
9,457,1.02,0.0,0.05,0.269
9,458,1.02,0.0,0.024,0.188
9,459,1.02,0.0,0.018,0.169
9,461,1.02,0.0,0.038,0.231
9,462,1.02,0.0,0.017,0.181
9,465,1.02,0.0,0.017,0.075
9,466,1.02,0.0,0.017,0.025
9,470,1.02,0.0,0.674,0.0
9,471,1.02,0.0,0.65,0.0
9,473,1.02,0.0,0.319,0.0
9,477,1.02,0.0,0.109,0.0
9,485,1.02,1.929,0.031,0.0
9,488,1.02,1.269,0.026,0.0
9,496,1.02,0.0,0.011,0.0
9,497,1.02,0.0,0.011,0.006
9,499,1.02,0.0,0.282,0.05
9,500,1.02,0.0,0.03,0.106
9,501,1.02,0.0,0.138,0.056
9,502,1.02,0.0,0.033,0.131
9,503,1.02,0.0,0.113,0.094
9,504,1.02,0.0,0.038,0.05
9,510,1.02,0.0,0.03,0.031
9,516,1.02,0.0,0.085,0.0
9,517,1.02,0.0,0.12,0.0
9,518,1.02,0.0,0.391,0.0
9,520,1.02,0.0,1.346,0.0
9,521,1.02,0.0,1.199,0.0
9,526,1.02,0.0,0.025,0.0
9,528,1.02,1.884,0.029,0.0
9,530,1.02,1.896,0.009,0.0
9,533,1.02,0.0,0.009,0.0
9,534,1.02,0.0,0.011,0.0
9,538,1.02,0.0,0.009,0.0
9,539,1.02,0.55,0.043,0.0
9,543,1.02,0.586,0.043,0.0
9,544,1.02,0.0,0.01,0.0
9,545,1.02,0.0,0.009,0.031
9,546,1.02,0.0,0.18,0.006
9,550,1.02,1.375,0.089,0.088
9,551,1.02,0.0,0.02,0.069
9,554,1.02,0.0,0.057,0.113
9,555,1.02,0.0,0.085,0.088
9,556,1.02,0.715,0.151,0.119
9,561,1.02,0.0,0.033,0.031
9,563,1.02,0.664,0.056,0.006
9,564,1.02,0.0,0.43,0.0
9,565,1.02,0.0,1.357,0.0
9,568,1.02,0.0,0.274,0.0
9,569,1.02,0.0,0.236,0.0
9,571,1.02,0.0,0.252,0.0
9,572,1.02,0.0,0.305,0.0
9,573,1.02,0.0,0.183,0.0
9,574,1.02,0.0,0.221,0.0
9,577,1.02,1.866,0.012,0.0
9,579,1.02,0.591,0.011,0.0
9,581,1.02,0.0,0.035,0.0
9,582,1.02,0.646,0.011,0.0
9,584,1.02,0.0,0.027,0.0
9,588,1.02,0.0,0.023,0.0
9,590,1.02,0.581,0.011,0.0
9,591,1.02,0.0,0.011,0.0
9,596,1.02,1.869,0.2,0.106
9,598,1.02,0.0,0.036,0.194
9,599,1.02,0.0,0.077,0.238
9,601,1.02,0.0,0.127,0.113
9,602,1.02,0.0,0.086,0.1
9,603,1.02,0.628,0.067,0.069
9,604,1.02,0.001,0.058,0.05
