location,time_seq,gen_capacity,CL,GC,GG
2,277,1.62,0.0,1.691,0.0
2,403,1.62,0.121,0.375,0.038
2,409,1.62,0.0,0.534,0.269
2,490,1.62,0.0,0.072,0.0
2,492,1.62,0.0,0.102,0.0
2,499,1.62,2.086,2.458,0.075
2,522,1.62,0.0,0.921,0.0
2,548,1.62,0.0,0.139,0.113
2,562,1.62,0.0,0.122,0.019
2,584,1.62,0.0,0.122,0.0
2,600,1.62,2.081,0.221,0.138
2,633,1.62,0.0,0.085,0.0
2,654,1.62,0.0,0.164,0.425
2,670,1.62,0.0,0.244,0.0
2,678,1.62,0.0,0.134,0.0
2,679,1.62,0.0,0.11,0.0
2,681,1.62,0.0,0.175,0.0
2,690,1.62,1.209,0.313,0.156
2,693,1.62,0.297,1.362,0.544
2,694,1.62,2.285,0.671,0.575
2,695,1.62,0.4,0.104,0.6
2,706,1.62,2.211,0.3,0.019
2,709,1.62,0.0,0.594,0.0
2,730,1.62,0.0,0.069,0.0
2,732,1.62,0.0,0.098,0.0
2,733,1.62,0.0,0.106,0.0
2,738,1.62,2.153,1.78,0.175
2,745,1.62,1.846,0.31,0.6
2,748,1.62,0.0,0.166,0.519
2,749,1.62,0.0,0.165,0.463
2,750,1.62,0.0,0.113,0.363
2,751,1.62,0.0,0.201,0.35
2,757,1.62,0.0,0.852,0.0
2,758,1.62,0.0,0.777,0.0
2,759,1.62,0.0,1.0,0.0
2,762,1.62,1.326,0.265,0.0
2,770,1.62,0.0,0.122,0.0
2,772,1.62,0.0,0.098,0.0
2,778,1.62,0.0,0.112,0.0
2,782,1.62,0.0,0.082,0.0
2,785,1.62,0.0,1.548,0.025
2,792,1.62,0.0,1.482,0.575
2,794,1.62,0.0,0.132,0.569
2,795,1.62,0.0,0.128,0.55
2,797,1.62,0.0,0.2,0.481
2,798,1.62,0.0,0.163,0.406
2,803,1.62,1.191,1.016,0.0
2,804,1.62,0.0,1.537,0.0
2,805,1.62,0.0,1.806,0.0
2,806,1.62,0.0,0.963,0.0
2,816,1.62,0.0,0.168,0.0
2,822,1.62,0.0,0.224,0.0
2,828,1.62,0.0,0.083,0.0
2,833,1.62,0.0,0.079,0.019
2,834,1.62,0.0,1.269,0.175
2,843,1.62,0.0,0.162,0.55
2,844,1.62,0.0,0.074,0.513
2,848,1.62,0.0,0.089,0.263
2,865,1.62,0.0,0.085,0.0
2,867,1.62,0.0,1.248,0.0
2,870,1.62,0.0,1.525,0.0
2,877,1.62,0.0,0.052,0.0
2,878,1.62,0.0,0.101,0.0
2,883,1.62,0.0,1.548,0.375
2,889,1.62,0.0,0.165,0.194
2,891,1.62,0.0,0.124,0.188
2,892,1.62,0.0,0.071,0.294
2,895,1.62,0.0,0.064,0.056
2,897,1.62,0.0,0.221,0.019
2,900,1.62,0.0,0.258,0.0
2,903,1.62,0.0,0.238,0.0
2,908,1.62,0.0,0.324,0.0
2,909,1.62,0.0,0.254,0.0
2,928,1.62,1.247,1.717,0.0
2,935,1.62,0.0,0.084,0.594
2,937,1.62,0.0,0.105,0.606
2,938,1.62,0.0,0.102,0.588
2,941,1.62,0.0,0.114,0.363
2,944,1.62,0.657,0.099,0.075
2,949,1.62,0.0,1.135,0.006
2,950,1.62,0.0,0.343,0.0
2,951,1.62,0.0,0.386,0.0
2,954,1.62,0.0,0.259,0.0
2,957,1.62,1.27,0.302,0.0
2,961,1.62,0.0,0.086,0.0
2,963,1.62,0.0,0.12,0.0
2,964,1.62,0.0,0.127,0.0
2,965,1.62,0.0,0.081,0.0
2,980,1.62,0.0,1.619,0.088
2,982,1.62,1.424,1.763,0.056
2,985,1.62,0.0,1.505,0.181
2,987,1.62,0.0,1.103,0.5
2,991,1.62,0.0,0.141,0.294
2,995,1.62,0.0,0.333,0.0
2,996,1.62,0.0,0.343,0.0
2,1003,1.62,0.0,0.338,0.0
2,1004,1.62,0.0,0.372,0.006
2,1006,1.62,0.0,0.235,0.0
2,1008,1.62,0.0,0.173,0.0
2,1009,1.62,0.0,0.146,0.0
2,1012,1.62,0.0,0.101,0.0
