location,time_seq,gen_capacity,CL,GC,GG
4,1,1.0,0.0,0.078,0.0
4,4,1.0,1.973,0.085,0.0
4,17,1.0,0.0,0.081,0.006
4,18,1.0,0.0,0.076,0.006
4,27,1.0,0.0,0.078,0.313
4,33,1.0,0.0,0.305,0.044
4,39,1.0,0.0,1.943,0.0
4,42,1.0,0.0,1.525,0.0
4,44,1.0,0.0,0.093,0.0
4,45,1.0,0.0,0.086,0.0
4,48,1.0,0.0,0.077,0.0
4,54,1.0,1.286,0.086,0.0
4,55,1.0,0.0,0.072,0.0
4,57,1.0,0.0,0.079,0.0
4,61,1.0,0.0,0.077,0.0
4,65,1.0,0.0,0.102,0.006
4,70,1.0,0.0,0.178,0.044
4,71,1.0,0.0,0.347,0.056
4,73,1.0,0.0,0.189,0.063
4,74,1.0,0.0,0.32,0.088
4,78,1.0,0.0,0.313,0.05
4,80,1.0,0.0,0.262,0.019
4,89,1.0,0.0,2.402,0.0
4,92,1.0,0.0,0.385,0.0
4,93,1.0,0.0,0.087,0.0
4,94,1.0,0.0,0.083,0.0
4,95,1.0,0.0,0.09,0.0
4,96,1.0,0.0,0.091,0.0
4,98,1.0,0.0,0.088,0.0
4,101,1.0,1.97,0.073,0.0
4,105,1.0,0.0,0.086,0.0
4,106,1.0,0.0,0.087,0.0
4,107,1.0,0.0,0.087,0.0
4,108,1.0,0.0,0.081,0.0
4,110,1.0,1.02,0.073,0.0
4,111,1.0,0.0,0.083,0.0
4,116,1.0,0.0,0.071,0.15
4,118,1.0,0.0,0.386,0.238
4,119,1.0,0.0,0.182,0.269
4,120,1.0,0.0,0.224,0.288
4,125,1.0,0.0,0.134,0.306
4,127,1.0,0.0,0.215,0.263
4,128,1.0,0.0,0.19,0.206
4,130,1.0,0.0,0.278,0.006
4,133,1.0,0.0,0.233,0.0
4,137,1.0,0.0,2.392,0.0
4,138,1.0,0.0,2.038,0.0
4,139,1.0,0.0,1.895,0.0
4,140,1.0,0.0,0.922,0.0
4,142,1.0,0.0,0.078,0.0
4,145,1.0,0.0,0.092,0.0
4,146,1.0,0.0,0.089,0.0
4,147,1.0,0.0,0.088,0.0
4,148,1.0,1.928,0.083,0.0
4,149,1.0,1.93,0.076,0.0
4,151,1.0,0.0,0.083,0.0
4,153,1.0,0.0,0.08,0.0
4,154,1.0,0.0,0.079,0.0
4,155,1.0,0.0,0.086,0.0
4,156,1.0,0.0,0.083,0.0
4,157,1.0,0.0,0.075,0.0
4,160,1.0,0.0,0.076,0.0
4,162,1.0,0.0,0.081,0.006
4,163,1.0,0.0,0.313,0.1
4,165,1.0,0.0,0.147,0.194
