location,time_seq,gen_capacity,CL,GC,GG
10,1,1.05,0.789,0.029,0.0
10,2,1.05,0.0,0.031,0.0
10,3,1.05,0.0,0.051,0.0
10,6,1.05,0.0,0.026,0.0
10,7,1.05,0.0,0.04,0.0
10,9,1.05,0.0,0.047,0.0
10,10,1.05,0.0,0.024,0.0
10,11,1.05,0.0,0.032,0.0
10,16,1.05,0.0,0.16,0.0
10,18,1.05,0.0,0.024,0.025
10,21,1.05,0.0,0.015,0.231
10,24,1.05,0.0,0.021,0.306
10,27,1.05,0.0,0.053,0.338
10,28,1.05,0.0,0.088,0.319
10,30,1.05,0.0,0.841,0.231
10,35,1.05,0.0,0.851,0.006
10,39,1.05,0.0,0.741,0.0
10,40,1.05,0.0,0.716,0.0
10,43,1.05,0.0,0.108,0.0
10,44,1.05,0.0,0.094,0.0
10,45,1.05,0.0,0.085,0.0
10,46,1.05,0.0,0.098,0.0
10,48,1.05,2.446,0.051,0.0
10,51,1.05,0.0,0.049,0.0
10,52,1.05,0.0,0.048,0.0
10,54,1.05,0.014,0.024,0.0
10,58,1.05,0.0,0.022,0.0
10,60,1.05,0.0,0.048,0.0
10,62,1.05,0.899,0.017,0.0
10,65,1.05,0.0,0.086,0.013
10,67,1.05,0.0,0.045,0.038
10,68,1.05,0.0,0.062,0.044
10,75,1.05,0.0,0.034,0.019
10,76,1.05,0.0,0.027,0.044
10,78,1.05,0.0,0.938,0.019
10,80,1.05,0.0,0.802,0.019
10,81,1.05,0.0,1.58,0.019
10,82,1.05,0.0,1.158,0.006
10,85,1.05,0.0,1.069,0.0
10,88,1.05,0.0,0.513,0.0
10,89,1.05,0.0,0.54,0.0
10,90,1.05,0.0,0.58,0.0
10,92,1.05,0.0,0.155,0.0
10,93,1.05,0.0,0.1,0.0
10,94,1.05,0.0,0.067,0.0
10,96,1.05,2.406,0.049,0.0
10,98,1.05,0.0,0.056,0.0
10,99,1.05,0.0,0.048,0.0
10,100,1.05,0.0,0.037,0.0
10,101,1.05,1.045,0.039,0.006
10,103,1.05,0.0,0.097,0.0
10,104,1.05,0.0,0.092,0.0
10,105,1.05,0.0,0.058,0.0
10,109,1.05,0.579,0.055,0.0
10,110,1.05,0.0,0.053,0.0
10,112,1.05,0.0,0.033,0.0
10,116,1.05,0.0,0.208,0.25
10,118,1.05,0.0,0.051,0.319
10,122,1.05,0.0,0.348,0.356
10,124,1.05,0.0,0.219,0.325
10,125,1.05,0.0,0.742,0.294
10,126,1.05,0.0,0.63,0.256
10,129,1.05,0.0,0.844,0.013
10,130,1.05,0.0,0.759,0.006
10,131,1.05,0.0,0.776,0.0
10,133,1.05,0.0,0.737,0.0
10,134,1.05,0.0,0.736,0.0
10,135,1.05,0.0,0.753,0.0
10,136,1.05,0.0,0.692,0.0
10,137,1.05,0.0,0.297,0.006
10,139,1.05,0.0,0.123,0.0
10,142,1.05,0.0,0.113,0.0
