location,time_seq,gen_capacity,CL,GC,GG
8,1,1.02,0.0,0.146,0.0
8,37,1.02,0.0,4.585,0.0
8,48,1.02,0.469,0.09,0.0
8,60,1.02,0.0,0.133,0.0
8,68,1.02,0.0,2.542,0.038
8,132,1.02,0.0,1.049,0.0
8,173,1.02,0.0,1.198,0.1
8,188,1.02,0.0,0.53,0.0
8,203,1.02,0.0,0.119,0.0
8,221,1.02,0.0,1.312,0.075
8,223,1.02,0.0,2.436,0.025
8,224,1.02,0.0,1.88,0.038
8,232,1.02,0.0,1.389,0.0
8,234,1.02,0.0,1.842,0.0
8,239,1.02,1.894,0.16,0.0
8,241,1.02,0.0,0.087,0.0
8,244,1.02,0.0,0.122,0.0
8,261,1.02,0.0,1.652,0.081
8,273,1.02,0.0,1.074,0.0
8,286,1.02,0.269,0.183,0.0
8,288,1.02,2.475,0.145,0.0
8,309,1.02,2.669,0.328,0.125
8,316,1.02,0.0,0.783,0.05
8,327,1.02,0.0,3.247,0.0
8,329,1.02,0.0,1.828,0.0
8,335,1.02,2.781,0.362,0.0
8,343,1.02,0.0,0.124,0.0
8,344,1.02,1.0,0.108,0.0
8,383,1.02,2.788,0.168,0.0
8,390,1.02,0.0,0.137,0.0
8,391,1.02,0.0,0.096,0.0
8,393,1.02,0.0,0.087,0.0
8,396,1.02,0.0,0.242,0.0
8,398,1.02,0.0,0.204,0.0
8,404,1.02,0.494,1.112,0.1
8,411,1.02,0.556,0.192,0.063
8,416,1.02,0.0,3.865,0.044
8,421,1.02,0.0,2.877,0.0
8,429,1.02,0.0,0.5,0.0
8,434,1.02,0.0,0.201,0.0
8,437,1.02,0.0,0.114,0.0
8,448,1.02,0.0,0.087,0.013
8,456,1.02,0.0,0.632,0.144
8,465,1.02,0.0,0.702,0.025
8,468,1.02,0.0,3.042,0.0
8,472,1.02,0.0,1.872,0.0
8,476,1.02,0.0,1.024,0.0
8,480,1.02,0.0,0.214,0.0
8,481,1.02,0.0,0.119,0.0
8,486,1.02,0.0,0.12,0.0
8,493,1.02,0.0,0.125,0.0
8,496,1.02,0.0,0.151,0.0
8,497,1.02,0.0,0.081,0.013
8,504,1.02,1.088,0.86,0.156
8,518,1.02,0.0,1.092,0.0
8,522,1.02,0.0,1.14,0.0
8,535,1.02,0.0,0.085,0.0
8,544,1.02,2.438,0.41,0.019
8,545,1.02,0.0,0.116,0.031
8,546,1.02,0.0,0.115,0.056
8,547,1.02,0.0,0.582,0.038
8,553,1.02,0.0,1.707,0.05
8,554,1.02,0.0,0.42,0.038
8,556,1.02,0.956,0.561,0.1
8,557,1.02,0.0,0.65,0.069
8,558,1.02,0.0,0.734,0.075
8,559,1.02,0.0,0.523,0.031
8,565,1.02,0.0,2.277,0.0
8,571,1.02,0.0,0.863,0.0
8,578,1.02,0.0,0.133,0.0
8,582,1.02,0.0,0.118,0.0
8,586,1.02,0.0,0.072,0.0
8,588,1.02,0.0,0.116,0.0
8,589,1.02,0.0,0.142,0.0
8,590,1.02,0.0,0.097,0.0
8,592,1.02,2.7,0.409,0.0
8,598,1.02,0.0,0.728,0.1
8,600,1.02,0.0,0.561,0.044
8,608,1.02,0.0,0.127,0.006
8,615,1.02,0.0,0.851,0.0
8,616,1.02,0.0,0.853,0.0
8,617,1.02,0.0,0.853,0.0
8,627,1.02,0.0,0.141,0.0
8,629,1.02,0.0,0.13,0.0
8,631,1.02,0.0,0.124,0.0
8,633,1.02,0.0,0.106,0.0
8,634,1.02,0.0,0.088,0.0
8,638,1.02,0.0,0.469,0.0
8,639,1.02,2.069,0.518,0.0
8,640,1.02,0.719,0.265,0.0
8,644,1.02,0.0,0.568,0.188
8,646,1.02,0.206,0.567,0.256
8,652,1.02,0.0,0.131,0.15
8,656,1.02,0.0,0.126,0.013
8,657,1.02,0.0,0.075,0.013
8,658,1.02,0.0,0.115,0.006
8,662,1.02,0.0,0.53,0.0
8,663,1.02,0.0,0.497,0.0
8,665,1.02,0.0,0.507,0.0
8,666,1.02,0.0,0.445,0.0
8,669,1.02,0.0,0.121,0.0
8,670,1.02,0.269,0.074,0.0
8,671,1.02,0.794,0.095,0.0
8,674,1.02,0.0,0.109,0.0
8,676,1.02,0.0,0.125,0.0
8,684,1.02,0.0,0.114,0.0
8,685,1.02,0.0,0.066,0.0
8,688,1.02,0.0,0.077,0.038
8,691,1.02,0.925,0.278,0.206
8,692,1.02,0.15,0.511,0.231
8,694,1.02,0.0,0.511,0.256
8,695,1.02,0.0,0.56,0.256
8,696,1.02,0.0,0.538,0.244
8,698,1.02,0.0,0.104,0.213
8,699,1.02,0.0,0.061,0.181
8,702,1.02,0.0,0.125,0.069
8,703,1.02,0.0,0.063,0.031
8,709,1.02,0.0,0.6,0.0
8,710,1.02,0.0,0.535,0.0
8,713,1.02,0.0,1.77,0.0
8,716,1.02,0.0,0.452,0.0
8,718,1.02,0.269,0.085,0.0
8,720,1.02,1.981,0.074,0.0
8,723,1.02,0.0,0.089,0.0
8,725,1.02,0.0,0.06,0.0
8,730,1.02,0.0,0.102,0.0
8,731,1.02,0.0,0.093,0.0
8,732,1.02,0.0,0.069,0.0
8,733,1.02,0.0,0.102,0.0
8,734,1.02,0.0,0.059,0.0
8,735,1.02,1.175,1.191,0.0
8,736,1.02,2.694,0.315,0.038
8,737,1.02,0.313,0.108,0.113
8,739,1.02,0.0,0.349,0.206
8,740,1.02,0.0,0.592,0.225
8,741,1.02,0.0,0.539,0.244
8,746,1.02,0.0,0.118,0.213
8,747,1.02,0.0,0.071,0.181
8,749,1.02,0.0,0.084,0.113
8,753,1.02,0.0,2.232,0.025
8,754,1.02,0.0,3.232,0.006
8,757,1.02,0.0,3.494,0.0
8,758,1.02,0.0,3.559,0.0
8,759,1.02,0.0,2.787,0.0
8,760,1.02,0.0,0.618,0.0
8,761,1.02,0.0,0.865,0.0
8,762,1.02,0.0,0.655,0.0
8,764,1.02,0.0,0.653,0.0
8,766,1.02,0.269,0.198,0.0
8,768,1.02,2.625,0.179,0.0
8,771,1.02,0.0,0.105,0.0
8,775,1.02,1.025,0.082,0.0
8,776,1.02,0.0,0.148,0.0
8,778,1.02,0.0,0.332,0.0
8,779,1.02,0.0,0.133,0.0
8,781,1.02,0.0,0.148,0.0
8,785,1.02,0.0,0.25,0.119
8,787,1.02,0.0,0.354,0.2
8,788,1.02,1.088,1.227,0.231
8,789,1.02,0.0,1.197,0.25
8,792,1.02,0.0,0.876,0.25
8,794,1.02,0.0,0.916,0.213
8,795,1.02,0.0,0.319,0.181
8,797,1.02,0.0,0.328,0.119
8,799,1.02,0.0,1.564,0.031
8,800,1.02,0.0,1.517,0.019
8,802,1.02,0.688,1.136,0.006
8,808,1.02,0.0,2.238,0.0
8,812,1.02,0.0,0.555,0.0
8,813,1.02,0.0,0.425,0.0
8,814,1.02,0.269,0.31,0.0
8,817,1.02,1.063,0.161,0.0
8,818,1.02,0.0,0.123,0.0
8,824,1.02,1.0,0.21,0.0
8,827,1.02,0.0,0.095,0.0
8,828,1.02,0.0,0.132,0.0
8,829,1.02,0.0,0.116,0.0
8,831,1.02,0.0,0.115,0.0
8,832,1.02,0.0,0.09,0.044
8,833,1.02,0.0,0.138,0.131
8,835,1.02,0.0,0.137,0.213
8,837,1.02,1.094,0.544,0.256
8,838,1.02,1.363,0.847,0.263
8,841,1.02,0.0,0.352,0.238
8,842,1.02,0.0,0.268,0.219
8,845,1.02,0.925,0.425,0.113
8,847,1.02,0.0,0.433,0.031
8,848,1.02,0.0,0.414,0.013
8,854,1.02,0.0,1.058,0.0
8,856,1.02,0.0,0.995,0.0
8,857,1.02,0.0,0.681,0.0
8,858,1.02,0.0,0.846,0.0
8,859,1.02,0.0,1.145,0.0
8,863,1.02,2.763,0.122,0.0
8,864,1.02,2.744,0.224,0.0
8,869,1.02,0.0,0.14,0.0
8,870,1.02,0.0,0.083,0.0
8,875,1.02,0.0,0.11,0.0
8,877,1.02,0.0,0.09,0.0
8,879,1.02,2.7,1.2,0.0
8,880,1.02,0.294,1.79,0.013
8,881,1.02,0.0,0.326,0.106
8,883,1.02,0.0,0.184,0.088
8,884,1.02,0.213,0.106,0.225
8,885,1.02,0.788,0.12,0.119
8,886,1.02,0.0,0.685,0.088
8,887,1.02,0.0,0.733,0.094
8,888,1.02,0.0,0.056,0.138
8,890,1.02,0.0,0.151,0.169
8,891,1.02,0.0,0.162,0.144
8,892,1.02,0.931,0.178,0.125
8,893,1.02,0.0,0.418,0.063
8,894,1.02,0.0,0.254,0.056
8,895,1.02,0.0,0.389,0.05
8,896,1.02,0.0,0.213,0.031
8,897,1.02,0.0,0.094,0.013
8,902,1.02,0.0,4.11,0.0
8,903,1.02,0.0,2.408,0.0
